price,cost,sales,profit_margin,inventory,discount_percentage,delivery_days,category,material,color,location,season,store_type,brand,revenue,Profit,Profit_Status,Profit_Margin_%,Revenue_per_Sale,Revenue_per_Inventory,Unit_Cost,Is_High_Value,Price_Category
218.5430535,181.6109316,40,16.89924312,105,27.79643342,9,Bed,Plastic,Red,Rural,Spring,Online,BrandA,3949.165238,3767.554307,Profit,95.40128304,98.72913096,37.61109751,4.540273289,Yes,Medium
477.8214379,385.033827,7,19.41888821,192,26.94371504,6,Chair,Glass,Blue,Rural,Summer,Online,BrandD,-3521.002258,-3906.036085,Loss,110.9353473,-503.0003225,-18.33855342,55.00483243,No,High
379.3972738,276.7367652,32,27.05884194,59,21.94813022,2,Table,Metal,Black,Suburban,Fall,Online,BrandD,14285.56022,14008.82345,Profit,98.06282175,446.4237568,242.1281393,8.648023911,Yes,Medium
319.3963179,281.8413339,48,11.75811426,45,11.00994442,2,Table,Glass,Green,Rural,Summer,Retail,BrandD,12261.0737,11979.23237,Profit,97.70133236,255.4390355,272.4683045,5.871694456,Yes,Medium
120.2083882,69.74368145,19,41.98101938,35,3.183762557,9,Chair,Glass,Brown,Rural,Fall,Online,BrandD,-4588.255733,-4657.999415,Loss,101.5200478,-241.4871439,-131.093021,3.670720077,No,Medium
120.1975342,65.35208254,6,45.62943159,185,20.65935157,8,Table,Plastic,Brown,Urban,Fall,Retail,BrandB,9136.301617,9070.949535,Profit,99.28469872,1522.716936,49.38541415,10.89201376,Yes,Medium
76.13762548,64.0762673,20,15.84152132,165,29.35962244,9,Sofa,Glass,Green,Suburban,Summer,Online,BrandA,4128.412805,4064.336538,Profit,98.44792005,206.4206403,25.02068367,3.203813365,Yes,Low
439.7792656,297.1412263,27,32.43400733,10,21.79813312,4,Sofa,Wood,White,Urban,Winter,Retail,BrandC,9516.966398,9219.825172,Profit,96.87777372,352.480237,951.6966398,11.00523061,Yes,High
320.5017553,268.8328794,43,16.12124583,11,27.86188108,4,Bed,Fabric,Brown,Suburban,Spring,Retail,BrandD,8882.539029,8613.70615,Profit,96.97346808,206.5706751,807.5035481,6.251927428,Yes,Medium
368.63266,316.0052172,37,14.27639179,169,24.12914139,2,Sofa,Fabric,Black,Urban,Spring,Retail,BrandD,8946.637741,8630.632524,Profit,96.46788854,241.80102,52.93868486,8.540681546,Yes,Medium
59.26302243,31.11208153,48,47.50169626,38,4.893440254,1,Sofa,Plastic,Green,Urban,Spring,Online,BrandB,1201.731751,1170.619669,Profit,97.4110627,25.03607814,31.62451975,0.648168365,Yes,Low
486.4594335,415.137624,7,14.66140948,198,7.476113118,4,Desk,Fabric,White,Rural,Fall,Retail,BrandB,1782.770514,1367.63289,Profit,76.71390565,254.681502,9.003891485,59.30537485,Yes,High
424.5991884,288.441957,5,32.06723779,138,10.25596805,8,Desk,Wood,Blue,Rural,Fall,Retail,BrandB,-1043.264316,-1331.706273,Loss,127.6480229,-208.6528633,-7.55988635,57.6883914,No,High
145.5525998,102.4942102,11,29.58270044,35,5.04781333,2,Desk,Plastic,Blue,Suburban,Summer,Online,BrandA,1003.510254,901.0160433,Profit,89.78643119,91.22820487,28.67172153,9.317655475,Yes,Medium
131.8212352,98.94989714,15,24.93629956,51,17.44953998,8,Desk,Metal,Black,Suburban,Winter,Retail,BrandC,-1415.105421,-1514.055318,Loss,106.9924046,-94.34036141,-27.74716512,6.59665981,No,Medium
132.5320294,115.3761615,3,12.94469573,30,29.26351572,1,Table,Fabric,Black,Suburban,Summer,Retail,BrandA,1398.516925,1283.140764,Profit,91.75010617,466.1723084,46.61723084,38.45872049,Yes,Medium
186.9090093,94.88369277,5,49.23535622,32,22.843765,1,Bed,Glass,Black,Rural,Summer,Online,BrandD,603.6743864,508.7906936,Profit,84.28230601,120.7348773,18.86482458,18.97673855,No,Medium
286.1403942,197.6478683,23,30.92626127,140,12.70160247,4,Bed,Wood,Brown,Urban,Winter,Retail,BrandB,2242.935315,2045.287446,Profit,91.18798179,97.51892673,16.02096653,8.593385579,Yes,Medium
244.3752584,189.4125299,37,22.4911183,145,0.135134429,7,Sofa,Wood,Black,Suburban,Fall,Online,BrandD,8595.562315,8406.149785,Profit,97.79639164,232.312495,59.2797401,5.119257565,Yes,Medium
181.0531131,142.8658944,9,21.09172169,168,9.398280334,9,Bed,Fabric,Green,Rural,Summer,Online,BrandC,4191.031416,4048.165521,Profit,96.59115191,465.6701573,24.94661557,15.87398826,Yes,Medium
325.3338026,252.7885851,15,22.29870274,57,15.80277863,5,Sofa,Metal,Green,Rural,Summer,Online,BrandC,-7173.239162,-7426.027747,Loss,103.5240507,-478.2159441,-125.8463011,16.85257234,No,Medium
112.7722373,62.45033877,3,44.62259482,183,9.727526216,2,Bed,Glass,White,Urban,Fall,Retail,BrandA,3196.398404,3133.948065,Profit,98.04622795,1065.466135,17.46665795,20.81677959,Yes,Medium
181.4650918,112.4644851,29,38.02417647,151,3.331047691,7,Chair,Metal,Green,Urban,Spring,Online,BrandA,-1044.709669,-1157.174154,Loss,110.7651425,-36.02447135,-6.918607081,3.878085693,No,Medium
214.8628295,138.2612678,6,35.65137898,127,13.28294871,2,Chair,Metal,Brown,Rural,Winter,Retail,BrandB,-1176.481119,-1314.742387,Loss,111.7521026,-196.0801865,-9.26363086,23.04354464,No,Medium
255.2314929,209.7428302,17,17.82251169,30,7.597584509,9,Bed,Fabric,Blue,Urban,Winter,Retail,BrandB,-10139.13042,-10348.87325,Loss,102.0686471,-596.4194366,-337.9710141,12.33781354,No,Medium
403.3291826,246.6373879,26,38.8496051,54,27.27697129,9,Table,Glass,White,Urban,Spring,Retail,BrandD,10454.45168,10207.81429,Profit,97.64083861,402.0942954,193.6009571,9.486053381,Yes,High
139.853202,81.71370653,21,41.57180145,9,3.052635855,3,Sofa,Fabric,Green,Rural,Winter,Retail,BrandB,-853.9161998,-935.6299064,Loss,109.5692887,-40.66267618,-94.87957776,3.891128883,No,Medium
281.4054973,248.475203,8,11.70207924,187,1.474578862,8,Bed,Fabric,Black,Suburban,Spring,Online,BrandB,-281.0040997,-529.4793027,Loss,188.4240491,-35.12551246,-1.50269572,31.05940038,No,Medium
316.586556,159.4156768,21,49.6454686,129,0.159425075,4,Sofa,Wood,Green,Suburban,Summer,Online,BrandD,7091.019256,6931.603579,Profit,97.75186513,337.6675836,54.96914152,7.591222703,Yes,Medium
70.90268572,63.75061428,11,10.08716577,14,9.842090535,3,Desk,Fabric,Red,Rural,Winter,Retail,BrandC,-9150.835909,-9214.586524,Loss,100.6966644,-831.8941736,-653.6311364,5.795510389,No,Low
323.3951834,249.2498909,38,22.92714805,2,19.81160515,1,Bed,Plastic,White,Suburban,Winter,Retail,BrandB,10164.65677,9915.406882,Profit,97.54787696,267.4909677,5082.328387,6.559207655,Yes,Medium
